Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw) (Höchstleistung)",Bezogene Strommenge,Einheit,Anlage EEG gefördert?
Bürgerwerke,PV-Anlage Ehningen,PV-Anlage,Solar,4.3999021000001203E17,2012,Deutschland,72351 Geislingen-Binsdorf,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Bürgerenergie Zollernalb eG (Mitgliedsgenossenschaft der Bürgerwerke),612.0,,,nein
Bürgerwerke,PV-Anlage Neuler,PV-Anlage,Solar,4.3999021000001203E17,2013,Deutschland,73479 Ellwangen,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Energiegenossenschaft Virngrund eG (Mitgliedsgenossenschaft der Bürgerwerke),282.0,,,nein
Bürgerwerke,PV-Anlage Rückersdorf,PV-Anlage,Solar,4.3999021000001203E17,2014,Deutschland,74076 Heilbronn,Bayern,"85% EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke) 15% BEG Neckar-Odenwald eG (Mitgliedsgenossenschaft der Bürgerwerke)",energeno Rückersdorf GbR,1796.0,,,ja
Bürgerwerke,WKA Neutscher Höhe,Windkraftanlage,Wind,4.3999021000001203E17,2011,Deutschland,64646 Heppenheim,Hessen,"51 % Energiegenossenschaft Starkenburg eG (Mitgliedsgenossenschaft der Bürgerwerke) 49 % Energiegenossenschaft Odenwald eG",Windstark-1 GmbH & Co. KG,2050.0,,,nein
Bürgerwerke,PV-Anlage Kirchardt,PV-Anlage,Solar,4.3999021000001299E17,2015,Deutschland,74076 Heilbronn,Baden-Württemberg,"55% EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke) 15% BEG Adersbach-Sinsheim-Kraichgau eG (Mitgliedsgenossenschaft der Bürgerwerke) 15% BEG Neckar-Odenwald eG (Mitgliedsgenossenschaft der Bürgerwerke) 15% Bürgerenergie Zabergäu",energeno Kirchardt GbR,2940.0,,,ja
Bürgerwerke,PV-Anlage Rittersdorf,PV-Anlage,Solar,4.3999021000001101E17,2013,Deutschland,99423 Weimar,Thüringen,Streubesitz Genossenschaftsmitglieder,Energiegenossenschaft Ilmtal eG (Mitgliedsgenossenschaft der Bürgerwerke),1496.0,,,nein
Bürgerwerke,PV-Anlage Illerich,PV-Anlage,Solar,4.3999021000001402E17,2014,Deutschland,56814 Illerich,Rheinland-Pfalz,Streubesitz Genossenschaftsmitglieder,Bürgerenergiegenossenschaft Sonnenland Illerich eG (Mitgliedsgenossenschaft der Bürgerwerke),739.0,,,nein
Bürgerwerke,PV-Anlage Steinkraut,PV-Anlage,Solar,4.3999021000001402E17,2013,Deutschland,57610 Altenkirchen,Rheinland-Pfalz,Streubesitz Genossenschaftsmitglieder,Maxwäll Energie-Genossenschaft eG (Mitgliedsgenossenschaft der Bürgerwerke),2480.0,,,nein
Bürgerwerke,PV-Anlage Schloßgymnasium,PV-Anlage,Solar,4.3999021000001402E17,2013,Deutschland,73230 Kirchheim/Teck,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Teckwerke Bürgerenergie eG (Mitgliedsgenossenschaft der Bürgerwerke),100.0,,,nein
Bürgerwerke,PV-Anlage Oberndorf-Boll,PV-Anlage,Solar,4.3999021000001402E17,2016,Deutschland,72351 Geislingen-Binsdorf,Baden-Württemberg,Streubesitz Genossenschaftsmitglieder,Bürgerenergie Zollernalb eG (Mitgliedsgenossenschaft der Bürgerwerke),920.0,,,ja
Bürgerwerke,PV-Anlage Lintig,PV-Anlage,Solar,4.3999021000001299E17,2016,Deutschland,74076 Heilbronn,Niedersachsen,Streubesitz Genossenschaftsmitglieder,EnerGeno Heilbronn-Franken eG (Mitgliedsgenossenschaft der Bürgerwerke),2869.0,,,ja
Bürgerwerke,Töging,Wasserkraft,Wasser,4.3999021000000301E17,1924,Deutschland,84513 Töging,Bayern, VERBUND Innkraftwerke GmbH ,VERBUND Innkraftwerke GmbH,85000.0,,,nein
