Anbieter,Anlagen Name,Technologie,Technologie einfach,Anlagenkennzeichnung BNetzA,Inbetriebnahme,Land,Standort,Bundesland,Eigentümer (Struktur),Betreiber,"Instalierte Leistung (Kw)
(Höchstleistung)",Bezogene Strommenge,Einheit,Anlage EEG gefördert?
grün.power,SP Alzey,Solar,Solar,E31416015500060160019E00059700300,2018.0,Deutschland,Alzey,Rheinland-Pfalz,Martin Berkenkamp,Privatperson,213.0,1353.923,kWh,
grün.power,SP Kirchhardt,Solar,Solar,E10843010000000000000084504200000,2015.0,Deutschland,Kirchardt,Baden-Württemberg,EnerGeno Kirchardt GbR,Projektierer und Betreiber auf genossenschatlicher Basis,2922.0,34364.133,kWh,
grün.power,WP Ebersheim Nord,Windenergieanlagen,Wind,E31060010000000072131001000100095,2000.0,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,Rheinwind GmbH & Co. KG,Unabhängiger Projektierer und Betreiber aus der Region,600.0,7008.242,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072260994100100283,2007.0,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,800.0,41264.455,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100070,2000.0,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600.0,0.0,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100384,2000.0,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600.0,0.0,kWh,
grün.power,WP Ebersheim Süd,Windenergieanlagen,Wind,E31060010000000072280991000100385,2001.0,Deutschland,Mainz-Ebersheim,Rheinland-Pfalz,GAIA mbh,Unabhängiger Projektierer und Betreiber aus der Region,600.0,0.0,kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000001,1999.0,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,450.0,18043.615,kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000002,1999.0,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,600.0,0.0,kWh,
grün.power,WP Friedrichskoog WP2,Windenergieanlagen,Wind,E20793018000000000000002800000003,1999.0,Deutschland,Friedrichskoog,Schleswig-Holstein,HAJJ Windpark Friedrichskoog GmbH & Co. KG,Unabhängiger Projektierer und Betreiber,600.0,0.0,kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529201417,1999.0,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,1500.0,4937.842,kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529201418,2000.0,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,1800.0,0.0,kWh,
grün.power,WP Kandrich 1,Windenergieanlagen,Wind,E31238010000010120000008529219428,2005.0,Deutschland,Daxweiler,Rheinland-Pfalz,GEDEA-Ingelheim GmbH & Co. WKA Ingelheimer Wald / Kandrich KG,Unabhängiger Projektierer und Betreiber aus der Region,2000.0,0.0,kWh,
grün.power,Töging am Inn,Laufwasserkraftwerk,Wasser,keine EEG-Anlage,1924.0,Deutschland,Töging am Inn,Bayern,VERBUND Innkraftwerke GmbH,VERBUND Innkraftwerke GmbH,85000.0,699546.79,kWh,nein
